                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.4577,                 2.0111,                0.79698,                0.94529,                0.62076,                0.65477,                 0.6373,                0.31147,                0.51509,                  0.475,                0.49774,                0.19422,                 1.8532,                 2.5454,                  1.052,                 1.1587,               0.001981,               0.001981,               0.001981
                     83,                 1.4607,                 1.9884,                0.84195,                0.93183,                0.62425,                 0.6375,                0.63017,                0.33153,                 0.5263,                    0.6,                0.53478,                0.21538,                 1.7736,                 2.4226,                 1.0325,                 1.1513,               0.001882,               0.001882,               0.001882
                     84,                 1.4813,                  1.726,                0.81683,                 0.9477,                0.62425,                 0.6375,                0.63017,                0.33153,                 0.5263,                    0.6,                0.53478,                0.21538,                 1.7736,                 2.4226,                 1.0325,                 1.1513,               0.001783,               0.001783,               0.001783
                     85,                 1.4674,                 1.8883,                0.84573,                0.93596,                0.62425,                 0.6375,                0.63017,                0.33153,                 0.5263,                    0.6,                0.53478,                0.21538,                 1.7736,                 2.4226,                 1.0325,                 1.1513,               0.001684,               0.001684,               0.001684
                     86,                 1.4524,                 2.0625,                0.83962,                0.94903,                0.68561,                    0.6,                0.63478,                0.33054,                0.50145,                 0.6125,                0.52936,                0.21229,                 1.7666,                 2.4142,                 1.0355,                 1.1399,               0.001585,               0.001585,               0.001585
                     87,                 1.4292,                 1.8695,                0.81574,                0.93043,                0.68561,                    0.6,                0.63478,                0.33054,                0.50145,                 0.6125,                0.52936,                0.21229,                 1.7666,                 2.4142,                 1.0355,                 1.1399,               0.001486,               0.001486,               0.001486
                     88,                 1.4639,                 1.9324,                0.83304,                0.94322,                0.65593,                    0.6,                0.62613,                0.32057,                0.54982,                 0.5125,                0.51986,                0.20921,                 1.7914,                 2.4134,                 1.0179,                 1.1533,               0.001387,               0.001387,               0.001387
                     89,                 1.4769,                 1.7542,                0.82756,                0.93964,                0.65593,                    0.6,                0.62613,                0.32057,                0.54982,                 0.5125,                0.51986,                0.20921,                 1.7914,                 2.4134,                 1.0179,                 1.1533,               0.001288,               0.001288,               0.001288
                     90,                 1.3393,                 1.7142,                0.77498,                 0.8993,                0.65593,                    0.6,                0.62613,                0.32057,                0.54982,                 0.5125,                0.51986,                0.20921,                 1.7914,                 2.4134,                 1.0179,                 1.1533,               0.001189,               0.001189,               0.001189
                     91,                 1.4099,                 1.8047,                0.78395,                0.91878,                0.57851,                  0.725,                0.63348,                 0.3205,                0.52308,                   0.65,                0.57591,                0.22959,                 1.8064,                 2.3923,                   1.01,                 1.1718,                0.00109,                0.00109,                0.00109
                     92,                 1.3811,                  1.809,                0.78743,                0.92455,                0.57851,                  0.725,                0.63348,                 0.3205,                0.52308,                   0.65,                0.57591,                0.22959,                 1.8064,                 2.3923,                   1.01,                 1.1718,               0.000991,               0.000991,               0.000991
